Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,AAA Batteries (4-pack),2,2.99,04/10/19 12:23,"819 Lake St, Dallas, TX 75001"
143254,Apple Airpods Headphones,1,150.0,04/10/19 15:15,"900 5th St, San Francisco, CA 94016"
143255,Bose SoundSport Headphones,1,99.99,04/04/19 13:27,"75 7th St, Los Angeles, CA 90001"
143256,Wired Headphones,1,11.99,04/12/19 09:31,"743 13th St, San Francisco, CA 94016"
143257,Apple Airpods Headphones,1,150.0,04/06/19 10:36,"279 Lakeview St, Dallas, TX 75001"
143258,Wired Headphones,1,11.99,04/09/19 14:37,"982 Cherry St, Dallas, TX 75001"
143259,34in Ultrawide Monitor,1,379.99,04/14/19 19:00,"240 Washington St, Boston, MA 02215"
143260,Macbook Pro Laptop,1,1700.0,04/24/19 21:48,"349 11th St, Boston, MA 02215"
143261,Lightning Charging Cable,1,14.95,04/14/19 21:11,"295 Dogwood St, San Francisco, CA 94016"
143262,Bose SoundSport Headphones,1,99.99,04/02/19 09:55,"779 9th St, Boston, MA 02215"
143263,AA Batteries (4-pack),1,3.84,04/06/19 19:58,"66 1st St, Dallas, TX 75001"
143264,Lightning Charging Cable,1,14.95,04/17/19 20:01,"715 8th St, Atlanta, GA 30301"
143265,AA Batteries (4-pack),1,3.84,04/20/19 21:58,"637 7th St, Austin, TX 73301"
143266,34in Ultrawide Monitor,1,379.99,04/25/19 17:10,"401 Johnson St, Seattle, WA 98101"
143267,Wired Headphones,1,11.99,04/13/19 17:09,"416 6th St, Los Angeles, CA 90001"
143268,AA Batteries (4-pack),1,3.84,04/05/19 20:47,"433 13th St, Los Angeles, CA 90001"
143269,AA Batteries (4-pack),1,3.84,04/16/19 19:48,"4 Lakeview St, New York City, NY 10001"
143270,Bose SoundSport Headphones,1,99.99,04/30/19 22:22,"781 Wilson St, San Francisco, CA 94016"
143271,Wired Headphones,1,11.99,04/23/19 16:03,"780 8th St, San Francisco, CA 94016"
143272,USB-C Charging Cable,1,11.95,04/19/19 09:28,"830 South St, Austin, TX 73301"
143273,Bose SoundSport Headphones,1,99.99,04/10/19 02:31,"114 Cherry St, New York City, NY 10001"
143274,Bose SoundSport Headphones,1,99.99,04/05/19 14:19,"890 Wilson St, Austin, TX 73301"
143275,AA Batteries (4-pack),1,3.84,04/04/19 06:12,"73 Highland St, Portland, OR 97035"
143276,AAA Batteries (4-pack),1,2.99,04/21/19 00:09,"226 Park St, New York City, NY 10001"
143277,Google Phone,1,600.0,04/22/19 15:12,"796 Church St, Dallas, TX 75001"
143278,20in Monitor,1,109.99,04/09/19 10:41,"167 River St, San Francisco, CA 94016"
143279,34in Ultrawide Monitor,1,379.99,04/07/19 10:20,"782 Church St, Dallas, TX 75001"
143280,Lightning Charging Cable,1,14.95,04/08/19 21:10,"748 Meadow St, Seattle, WA 98101"
143281,20in Monitor,1,109.99,04/06/19 21:22,"761 2nd St, Portland, OR 97035"
143282,Wired Headphones,1,11.99,04/28/19 17:37,"944 Park St, Dallas, TX 75001"
143283,AAA Batteries (4-pack),1,2.99,04/24/19 09:56,"555 Elm St, New York City, NY 10001"
143284,Bose SoundSport Headphones,1,99.99,04/24/19 20:34,"726 Cherry St, San Francisco, CA 94016"
143285,LG Dryer,1,600.0,04/19/19 18:43,"967 Jefferson St, San Francisco, CA 94016"
143286,AAA Batteries (4-pack),2,2.99,04/28/19 23:01,"964 Chestnut St, New York City, NY 10001"
143287,USB-C Charging Cable,2,11.95,04/21/19 09:26,"647 Cedar St, Austin, TX 73301"
143288,AAA Batteries (4-pack),2,2.99,04/18/19 08:40,"256 2nd St, Portland, OR 97035"
143289,Macbook Pro Laptop,1,1700.0,04/23/19 21:14,"919 2nd St, Boston, MA 02215"
143290,Apple Airpods Headphones,1,150.0,04/06/19 12:59,"707 11th St, Boston, MA 02215"
143291,Apple Airpods Headphones,1,150.0,04/03/19 12:48,"903 Adams St, New York City, NY 10001"
143292,AA Batteries (4-pack),1,3.84,04/21/19 00:31,"957 12th St, New York City, NY 10001"
143293,AA Batteries (4-pack),1,3.84,04/30/19 18:53,"355 11th St, San Francisco, CA 94016"
143294,AAA Batteries (4-pack),1,2.99,04/09/19 22:40,"42 Meadow St, Dallas, TX 75001"
143295,AA Batteries (4-pack),1,3.84,04/28/19 15:49,"511 Church St, San Francisco, CA 94016"
143296,27in FHD Monitor,1,149.99,04/02/19 16:16,"917 Lakeview St, Portland, OR 97035"
143297,AAA Batteries (4-pack),3,2.99,04/10/19 19:59,"604 Wilson St, Atlanta, GA 30301"
143298,AA Batteries (4-pack),1,3.84,04/30/19 15:33,"451 8th St, New York City, NY 10001"
143299,AA Batteries (4-pack),1,3.84,04/04/19 18:30,"595 Elm St, Atlanta, GA 30301"
143300,USB-C Charging Cable,1,11.95,04/24/19 15:26,"301 Hickory St, Atlanta, GA 30301"
143301,USB-C Charging Cable,1,11.95,04/14/19 09:24,"579 2nd St, New York City, NY 10001"
143302,27in 4K Gaming Monitor,1,389.99,04/25/19 13:00,"527 Main St, Austin, TX 73301"
143303,Google Phone,1,600.0,04/15/19 09:52,"378 West St, San Francisco, CA 94016"
143304,USB-C Charging Cable,1,11.95,04/30/19 13:59,"479 13th St, Atlanta, GA 30301"
143305,AAA Batteries (4-pack),2,2.99,04/30/19 18:24,"563 Elm St, San Francisco, CA 94016"
143306,Lightning Charging Cable,1,14.95,04/11/19 22:36,"354 Wilson St, Los Angeles, CA 90001"
143307,AA Batteries (4-pack),1,3.84,04/15/19 12:34,"940 Madison St, Los Angeles, CA 90001"
143308,AAA Batteries (4-pack),3,2.99,04/08/19 12:46,"946 Highland St, San Francisco, CA 94016"
143309,AAA Batteries (4-pack),2,2.99,04/29/19 16:49,"484 Spruce St, Los Angeles, CA 90001"
143310,Apple Airpods Headphones,1,150.0,04/29/19 12:13,"58 South St, Los Angeles, CA 90001"
143311,Macbook Pro Laptop,1,1700.0,04/10/19 18:57,"412 Hickory St, New York City, NY 10001"
143312,Lightning Charging Cable,1,14.95,04/16/19 22:52,"899 Wilson St, San Francisco, CA 94016"
143313,USB-C Charging Cable,1,11.95,04/19/19 21:44,"657 Park St, Seattle, WA 98101"
143314,AA Batteries (4-pack),2,3.84,04/01/19 17:51,"581 7th St, Boston, MA 02215"
143315,Wired Headphones,1,11.99,04/14/19 11:29,"417 Lincoln St, San Francisco, CA 94016"
143316,Bose SoundSport Headphones,1,99.99,04/14/19 15:33,"589 Maple St, Austin, TX 73301"
143317,iPhone,1,700.0,04/09/19 09:27,"103 North St, San Francisco, CA 94016"
143317,Lightning Charging Cable,1,14.95,04/09/19 09:27,"103 North St, San Francisco, CA 94016"
143318,Lightning Charging Cable,1,14.95,04/30/19 16:20,"681 Jefferson St, Dallas, TX 75001"
143319,AAA Batteries (4-pack),2,2.99,04/02/19 23:14,"964 Chestnut St, Atlanta, GA 30301"
143320,iPhone,1,700.0,04/13/19 12:02,"927 Elm St, Dallas, TX 75001"
143320,Wired Headphones,1,11.99,04/13/19 12:02,"927 Elm St, Dallas, TX 75001"
143321,LG Washing Machine,1,600.0,04/19/19 00:31,"582 Park St, San Francisco, CA 94016"
143322,LG Washing Machine,1,600.0,04/21/19 22:06,"222 Maple St, San Francisco, CA 94016"
143323,USB-C Charging Cable,1,11.95,04/18/19 09:55,"911 Elm St, New York City, NY 10001"
143324,Wired Headphones,1,11.99,04/14/19 14:38,"96 Madison St, Austin, TX 73301"
143325,USB-C Charging Cable,2,11.95,04/07/19 12:14,"668 Walnut St, Boston, MA 02215"
143326,Lightning Charging Cable,2,14.95,04/15/19 18:32,"159 Sunset St, San Francisco, CA 94016"
143327,AA Batteries (4-pack),3,3.84,04/03/19 15:47,"523 Madison St, New York City, NY 10001"
143328,Google Phone,1,600.0,04/10/19 15:44,"23 12th St, Boston, MA 02215"
143328,USB-C Charging Cable,1,11.95,04/10/19 15:44,"23 12th St, Boston, MA 02215"
143329,iPhone,1,700.0,04/25/19 00:55,"799 Dogwood St, Atlanta, GA 30301"
143329,Apple Airpods Headphones,1,150.0,04/25/19 00:55,"799 Dogwood St, Atlanta, GA 30301"
143330,USB-C Charging Cable,1,11.95,04/17/19 16:20,"382 Hickory St, San Francisco, CA 94016"
143331,iPhone,1,700.0,04/15/19 12:44,"696 14th St, New York City, NY 10001"
143332,iPhone,1,700.0,04/12/19 01:42,"565 4th St, Seattle, WA 98101"
143333,AAA Batteries (4-pack),1,2.99,04/11/19 11:24,"497 7th St, Atlanta, GA 30301"
143334,27in 4K Gaming Monitor,1,389.99,04/02/19 16:20,"260 Pine St, Los Angeles, CA 90001"
143335,AAA Batteries (4-pack),2,2.99,04/15/19 18:34,"867 Hickory St, Atlanta, GA 30301"
143336,Macbook Pro Laptop,1,1700.0,04/01/19 17:02,"353 7th St, Portland, OR 97035"
143337,AAA Batteries (4-pack),2,2.99,04/22/19 16:15,"525 Madison St, Portland, OR 97035"
143338,USB-C Charging Cable,1,11.95,04/28/19 12:53,"654 Cedar St, Dallas, TX 75001"
143339,Macbook Pro Laptop,1,1700.0,04/30/19 21:03,"579 Main St, New York City, NY 10001"
143340,ThinkPad Laptop,1,999.99,04/21/19 18:10,"918 Ridge St, New York City, NY 10001"
143341,AAA Batteries (4-pack),1,2.99,04/28/19 20:00,"527 Ridge St, Austin, TX 73301"
143342,Lightning Charging Cable,1,14.95,04/14/19 10:38,"72 Johnson St, Seattle, WA 98101"
143343,Wired Headphones,1,11.99,04/12/19 18:06,"948 Washington St, San Francisco, CA 94016"
143344,Wired Headphones,1,11.99,04/29/19 20:46,"283 Cherry St, Austin, TX 73301"
143345,USB-C Charging Cable,1,11.95,04/28/19 12:08,"891 Chestnut St, Boston, MA 02215"
143346,Wired Headphones,1,11.99,04/12/19 11:32,"400 11th St, Los Angeles, CA 90001"
143347,Macbook Pro Laptop,1,1700.0,04/16/19 18:32,"843 Hickory St, San Francisco, CA 94016"
143348,Wired Headphones,1,11.99,04/30/19 23:20,"162 Highland St, Dallas, TX 75001"
143349,Apple Airpods Headphones,1,150.0,04/22/19 16:40,"573 Spruce St, Portland, OR 97035"
