Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,Lightning Charging Cable,1,14.95,08/26/19 21:25,"801 Meadow St, New York City, NY 10001"
143254,USB-C Charging Cable,1,11.95,08/19/19 22:56,"122 Dogwood St, Austin, TX 73301"
143255,Google Phone,1,600.0,08/28/19 20:39,"289 Lincoln St, Seattle, WA 98101"
143256,USB-C Charging Cable,1,11.95,08/27/19 17:40,"57 West St, San Francisco, CA 94016"
143257,Wired Headphones,1,11.99,08/03/19 17:57,"592 Lincoln St, Boston, MA 02215"
143258,AA Batteries (4-pack),1,3.84,08/29/19 14:15,"440 12th St, Portland, OR 97035"
143259,27in 4K Gaming Monitor,1,389.99,08/26/19 13:11,"689 8th St, Atlanta, GA 30301"
143260,USB-C Charging Cable,1,11.95,08/05/19 10:18,"402 Park St, Boston, MA 02215"
143261,Flatscreen TV,1,300.0,08/16/19 17:12,"928 Jackson St, Seattle, WA 98101"
143262,Flatscreen TV,1,300.0,08/11/19 23:54,"467 8th St, Los Angeles, CA 90001"
143263,USB-C Charging Cable,1,11.95,08/13/19 09:26,"821 Main St, Seattle, WA 98101"
143264,Lightning Charging Cable,2,14.95,08/11/19 11:04,"235 13th St, Boston, MA 02215"
143265,AAA Batteries (4-pack),4,2.99,08/24/19 08:02,"297 Meadow St, Dallas, TX 75001"
143266,AA Batteries (4-pack),1,3.84,08/08/19 05:38,"208 Park St, Los Angeles, CA 90001"
143267,Macbook Pro Laptop,1,1700.0,08/15/19 09:39,"897 Spruce St, Boston, MA 02215"
143268,Bose SoundSport Headphones,1,99.99,08/03/19 17:42,"151 Center St, Seattle, WA 98101"
143269,Lightning Charging Cable,1,14.95,08/07/19 13:05,"724 Willow St, New York City, NY 10001"
143270,USB-C Charging Cable,1,11.95,08/05/19 12:19,"89 Meadow St, Dallas, TX 75001"
143271,AAA Batteries (4-pack),2,2.99,08/17/19 16:47,"686 5th St, Boston, MA 02215"
143272,Vareebadd Phone,1,400.0,08/16/19 18:44,"197 Chestnut St, San Francisco, CA 94016"
143273,USB-C Charging Cable,1,11.95,08/18/19 19:07,"73 Willow St, San Francisco, CA 94016"
143274,AAA Batteries (4-pack),3,2.99,09/01/19 01:00,"485 12th St, Dallas, TX 75001"
143275,Wired Headphones,1,11.99,08/15/19 14:39,"644 Sunset St, San Francisco, CA 94016"
143276,USB-C Charging Cable,1,11.95,08/17/19 15:30,"875 Highland St, New York City, NY 10001"
143277,Lightning Charging Cable,1,14.95,08/12/19 15:41,"137 River St, Boston, MA 02215"
143278,27in FHD Monitor,1,149.99,08/04/19 11:39,"984 Lakeview St, Boston, MA 02215"
143279,Lightning Charging Cable,1,14.95,08/02/19 11:25,"2 Church St, San Francisco, CA 94016"
143280,AA Batteries (4-pack),1,3.84,08/15/19 15:43,"224 Meadow St, San Francisco, CA 94016"
143281,Macbook Pro Laptop,1,1700.0,08/19/19 09:38,"856 Hickory St, New York City, NY 10001"
143282,27in 4K Gaming Monitor,1,389.99,08/18/19 15:10,"121 Sunset St, San Francisco, CA 94016"
143283,USB-C Charging Cable,1,11.95,08/01/19 18:57,"643 Hill St, Seattle, WA 98101"
143284,USB-C Charging Cable,1,11.95,08/21/19 11:21,"652 Meadow St, New York City, NY 10001"
143285,USB-C Charging Cable,1,11.95,08/11/19 12:18,"32 Meadow St, Dallas, TX 75001"
143286,27in 4K Gaming Monitor,1,389.99,08/14/19 15:24,"581 8th St, San Francisco, CA 94016"
143287,Wired Headphones,1,11.99,08/22/19 16:27,"633 Madison St, Seattle, WA 98101"
143288,Apple Airpods Headphones,1,150.0,08/11/19 05:30,"965 Johnson St, San Francisco, CA 94016"
143289,Wired Headphones,1,11.99,08/09/19 19:34,"151 Chestnut St, Atlanta, GA 30301"
143290,Lightning Charging Cable,1,14.95,08/12/19 03:04,"301 Sunset St, New York City, NY 10001"
143291,AAA Batteries (4-pack),1,2.99,08/16/19 08:56,"543 1st St, Boston, MA 02215"
143292,Apple Airpods Headphones,2,150.0,08/05/19 20:15,"87 Walnut St, San Francisco, CA 94016"
143293,Bose SoundSport Headphones,1,99.99,08/01/19 06:11,"255 River St, Los Angeles, CA 90001"
143294,Lightning Charging Cable,1,14.95,08/04/19 12:37,"739 Cedar St, San Francisco, CA 94016"
143295,Google Phone,1,600.0,08/03/19 22:07,"25 10th St, Los Angeles, CA 90001"
143296,Lightning Charging Cable,1,14.95,08/28/19 12:17,"160 Pine St, Portland, ME 04101"
143297,Bose SoundSport Headphones,1,99.99,08/15/19 20:58,"618 8th St, San Francisco, CA 94016"
143298,iPhone,1,700.0,08/20/19 11:03,"557 Dogwood St, Los Angeles, CA 90001"
143299,ThinkPad Laptop,1,999.99,08/06/19 06:37,"747 Madison St, New York City, NY 10001"
143300,USB-C Charging Cable,2,11.95,08/08/19 19:04,"629 Lincoln St, San Francisco, CA 94016"
143301,Flatscreen TV,1,300.0,08/11/19 09:30,"698 7th St, Portland, ME 04101"
143302,Lightning Charging Cable,1,14.95,08/09/19 09:03,"377 Hill St, Portland, OR 97035"
143303,Google Phone,1,600.0,08/27/19 12:00,"154 4th St, Austin, TX 73301"
143304,Google Phone,1,600.0,08/11/19 12:55,"809 West St, Portland, OR 97035"
143305,AAA Batteries (4-pack),2,2.99,08/18/19 08:18,"1 Lakeview St, New York City, NY 10001"
143306,AAA Batteries (4-pack),6,2.99,08/08/19 11:18,"961 4th St, New York City, NY 10001"
143307,iPhone,1,700.0,08/29/19 17:52,"805 South St, Los Angeles, CA 90001"
143308,Bose SoundSport Headphones,1,99.99,08/23/19 15:45,"535 12th St, Portland, ME 04101"
143309,27in 4K Gaming Monitor,1,389.99,08/11/19 21:20,"262 Pine St, Los Angeles, CA 90001"
143310,USB-C Charging Cable,1,11.95,08/31/19 16:28,"440 10th St, Los Angeles, CA 90001"
143311,Wired Headphones,1,11.99,08/19/19 09:59,"441 8th St, New York City, NY 10001"
143312,Wired Headphones,1,11.99,08/28/19 12:34,"285 5th St, Portland, OR 97035"
143313,Google Phone,1,600.0,08/16/19 11:23,"204 Sunset St, Los Angeles, CA 90001"
143314,AA Batteries (4-pack),1,3.84,08/01/19 17:02,"206 Sunset St, Austin, TX 73301"
143315,Bose SoundSport Headphones,1,99.99,08/05/19 01:30,"252 Church St, San Francisco, CA 94016"
143316,USB-C Charging Cable,1,11.95,08/15/19 18:50,"193 Meadow St, New York City, NY 10001"
143317,Apple Airpods Headphones,1,150.0,08/19/19 18:39,"128 1st St, San Francisco, CA 94016"
143318,USB-C Charging Cable,1,11.95,08/28/19 09:00,"924 River St, Los Angeles, CA 90001"
143319,Wired Headphones,1,11.99,08/16/19 21:03,"204 6th St, San Francisco, CA 94016"
143320,Vareebadd Phone,1,400.0,08/26/19 13:37,"394 North St, Portland, ME 04101"
143321,Wired Headphones,1,11.99,08/12/19 09:08,"853 5th St, Los Angeles, CA 90001"
143322,Lightning Charging Cable,1,14.95,08/19/19 01:04,"18 12th St, San Francisco, CA 94016"
143323,Lightning Charging Cable,1,14.95,08/26/19 11:03,"215 Jefferson St, Boston, MA 02215"
143324,Bose SoundSport Headphones,1,99.99,08/21/19 23:32,"293 Meadow St, San Francisco, CA 94016"
143325,AA Batteries (4-pack),1,3.84,08/12/19 09:47,"223 West St, Los Angeles, CA 90001"
143326,34in Ultrawide Monitor,1,379.99,08/02/19 09:07,"924 Highland St, Portland, OR 97035"
143327,AA Batteries (4-pack),1,3.84,08/17/19 07:48,"593 1st St, New York City, NY 10001"
143328,USB-C Charging Cable,1,11.95,08/21/19 19:27,"708 2nd St, Los Angeles, CA 90001"
143329,AA Batteries (4-pack),2,3.84,08/18/19 10:59,"231 Spruce St, San Francisco, CA 94016"
143330,Lightning Charging Cable,1,14.95,08/31/19 11:40,"760 8th St, Seattle, WA 98101"
143331,Flatscreen TV,1,300.0,08/31/19 18:14,"391 Walnut St, Los Angeles, CA 90001"
143332,AA Batteries (4-pack),1,3.84,08/01/19 21:51,"6 2nd St, Seattle, WA 98101"
143333,AA Batteries (4-pack),2,3.84,08/14/19 20:47,"289 Sunset St, San Francisco, CA 94016"
143334,AA Batteries (4-pack),1,3.84,08/02/19 11:42,"118 13th St, Dallas, TX 75001"
143335,AAA Batteries (4-pack),3,2.99,08/12/19 18:08,"743 Spruce St, San Francisco, CA 94016"
143336,Lightning Charging Cable,1,14.95,08/26/19 09:06,"431 Lake St, Seattle, WA 98101"
143337,USB-C Charging Cable,3,11.95,08/26/19 12:38,"434 Walnut St, San Francisco, CA 94016"
143338,Apple Airpods Headphones,1,150.0,08/09/19 15:53,"192 2nd St, Dallas, TX 75001"
143339,Wired Headphones,1,11.99,08/24/19 18:14,"148 9th St, Austin, TX 73301"
143340,ThinkPad Laptop,1,999.99,08/20/19 22:34,"15 North St, Boston, MA 02215"
143341,USB-C Charging Cable,1,11.95,08/07/19 08:13,"530 Pine St, Los Angeles, CA 90001"
143342,AAA Batteries (4-pack),2,2.99,08/28/19 18:53,"814 1st St, Seattle, WA 98101"
143343,Lightning Charging Cable,1,14.95,08/22/19 11:27,"663 Ridge St, New York City, NY 10001"
143344,Wired Headphones,1,11.99,08/01/19 17:52,"810 2nd St, San Francisco, CA 94016"
143345,USB-C Charging Cable,1,11.95,08/04/19 00:16,"752 West St, Los Angeles, CA 90001"
143346,Google Phone,1,600.0,08/07/19 14:41,"671 7th St, Atlanta, GA 30301"
143347,AA Batteries (4-pack),1,3.84,08/18/19 18:18,"720 Church St, Seattle, WA 98101"
143348,USB-C Charging Cable,1,11.95,08/15/19 07:49,"372 Jefferson St, Dallas, TX 75001"
143349,27in FHD Monitor,1,149.99,08/29/19 21:05,"901 Maple St, New York City, NY 10001"
143350,AA Batteries (4-pack),1,3.84,08/25/19 13:20,"127 Sunset St, Los Angeles, CA 90001"
143351,AAA Batteries (4-pack),1,2.99,08/15/19 06:02,"515 Spruce St, Boston, MA 02215"
143352,AA Batteries (4-pack),2,3.84,08/13/19 02:04,"577 Park St, San Francisco, CA 94016"
143353,Apple Airpods Headphones,1,150.0,08/10/19 01:04,"230 Wilson St, Boston, MA 02215"
143354,iPhone,1,700.0,08/20/19 15:20,"313 Main St, Seattle, WA 98101"
143355,AA Batteries (4-pack),2,3.84,08/17/19 16:53,"941 Walnut St, Los Angeles, CA 90001"
143356,Lightning Charging Cable,1,14.95,08/26/19 09:10,"260 River St, Dallas, TX 75001"
143357,LG Washing Machine,1,600.0,08/24/19 15:42,"757 Willow St, New York City, NY 10001"
143358,Bose SoundSport Headphones,1,99.99,08/01/19 18:01,"286 South St, Boston, MA 02215"
143359,Lightning Charging Cable,1,14.95,08/22/19 20:22,"740 River St, New York City, NY 10001"
143360,20in Monitor,1,109.99,08/31/19 14:12,"22 6th St, Boston, MA 02215"
