Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,Apple Airpods Headphones,1,150,12/17/19 22:40,"314 5th St, Seattle, WA 98101"
143254,USB-C Charging Cable,1,11.95,12/08/19 11:37,"808 Chestnut St, Los Angeles, CA 90001"
143255,Bose SoundSport Headphones,1,99.99,12/27/19 20:46,"83 Elm St, Boston, MA 02215"
143256,Lightning Charging Cable,1,14.95,12/21/19 14:24,"970 Elm St, Atlanta, GA 30301"
143257,Google Phone,1,600,12/02/19 23:40,"22 Washington St, Los Angeles, CA 90001"
143258,AAA Batteries (4-pack),1,2.99,12/12/19 20:11,"745 Jefferson St, Austin, TX 73301"
143259,27in 4K Gaming Monitor,1,389.99,12/26/19 13:33,"168 Park St, Dallas, TX 75001"
143260,34in Ultrawide Monitor,1,379.99,12/03/19 13:01,"153 Highland St, Dallas, TX 75001"
143261,AAA Batteries (4-pack),1,2.99,12/26/19 22:40,"341 Dogwood St, New York City, NY 10001"
143262,Google Phone,1,600,12/15/19 23:08,"707 8th St, San Francisco, CA 94016"
143262,USB-C Charging Cable,2,11.95,12/15/19 23:08,"707 8th St, San Francisco, CA 94016"
143263,27in 4K Gaming Monitor,1,389.99,12/07/19 17:30,"852 Willow St, San Francisco, CA 94016"
143264,Apple Airpods Headphones,1,150,12/17/19 07:31,"483 Maple St, Atlanta, GA 30301"
143265,AA Batteries (4-pack),1,3.84,12/08/19 07:48,"828 Cedar St, San Francisco, CA 94016"
143266,Vareebadd Phone,1,400,12/28/19 20:57,"709 Hickory St, San Francisco, CA 94016"
143267,Apple Airpods Headphones,1,150,12/15/19 14:03,"310 River St, Los Angeles, CA 90001"
143268,Wired Headphones,1,11.99,12/22/19 12:46,"90 8th St, San Francisco, CA 94016"
143269,Lightning Charging Cable,1,14.95,12/27/19 22:08,"808 1st St, San Francisco, CA 94016"
143270,ThinkPad Laptop,1,999.99,12/30/19 14:10,"892 Pine St, Portland, OR 97035"
143271,Wired Headphones,1,11.99,12/26/19 09:50,"868 Meadow St, Atlanta, GA 30301"
143272,Apple Airpods Headphones,1,150,12/16/19 21:18,"651 11th St, Dallas, TX 75001"
143273,AAA Batteries (4-pack),1,2.99,12/15/19 08:48,"466 South St, Los Angeles, CA 90001"
143274,27in 4K Gaming Monitor,1,389.99,12/20/19 10:14,"966 Walnut St, Dallas, TX 75001"
143275,AAA Batteries (4-pack),1,2.99,12/21/19 14:26,"281 Main St, New York City, NY 10001"
143276,Bose SoundSport Headphones,1,99.99,12/23/19 08:19,"579 North St, Seattle, WA 98101"
143277,Apple Airpods Headphones,1,150,12/06/19 13:26,"610 Park St, San Francisco, CA 94016"
143278,AA Batteries (4-pack),1,3.84,12/17/19 16:59,"208 Lakeview St, San Francisco, CA 94016"
143279,27in FHD Monitor,1,149.99,12/27/19 19:29,"25 Lincoln St, New York City, NY 10001"
143280,Bose SoundSport Headphones,1,99.99,12/26/19 21:08,"192 2nd St, New York City, NY 10001"
143281,27in 4K Gaming Monitor,1,389.99,12/27/19 20:28,"702 Elm St, Los Angeles, CA 90001"
143282,Apple Airpods Headphones,1,150,12/01/19 14:23,"173 Dogwood St, Los Angeles, CA 90001"
143283,AA Batteries (4-pack),1,3.84,12/25/19 20:35,"792 Maple St, Boston, MA 02215"
143284,AA Batteries (4-pack),4,3.84,12/08/19 22:43,"936 14th St, Portland, OR 97035"
143285,Wired Headphones,1,11.99,12/18/19 12:50,"659 Walnut St, Dallas, TX 75001"
143286,27in FHD Monitor,1,149.99,12/19/19 12:37,"491 6th St, Los Angeles, CA 90001"
143287,Lightning Charging Cable,1,14.95,12/05/19 18:28,"884 Jefferson St, Austin, TX 73301"
143288,Lightning Charging Cable,1,14.95,12/05/19 20:08,"445 Lake St, Los Angeles, CA 90001"
143289,AA Batteries (4-pack),1,3.84,12/02/19 21:48,"297 Pine St, New York City, NY 10001"
143290,27in 4K Gaming Monitor,1,389.99,12/15/19 06:22,"517 Lakeview St, Atlanta, GA 30301"
143291,Bose SoundSport Headphones,1,99.99,12/08/19 10:48,"260 Cedar St, Dallas, TX 75001"
143292,Wired Headphones,1,11.99,12/08/19 17:13,"119 6th St, Portland, OR 97035"
143293,AA Batteries (4-pack),1,3.84,12/02/19 20:29,"472 Elm St, San Francisco, CA 94016"
143294,Lightning Charging Cable,1,14.95,12/21/19 16:10,"616 Hill St, San Francisco, CA 94016"
143295,Wired Headphones,1,11.99,12/22/19 05:39,"728 Spruce St, San Francisco, CA 94016"
