Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,AA Batteries (4-pack),3,3.84,02/14/19 15:51,"659 Elm St, Austin, TX 73301"
143254,AA Batteries (4-pack),1,3.84,02/02/19 08:21,"20 Jackson St, Los Angeles, CA 90001"
143255,iPhone,1,700.0,02/07/19 12:35,"444 Elm St, Atlanta, GA 30301"
143255,Apple Airpods Headphones,1,150.0,02/07/19 12:35,"444 Elm St, Atlanta, GA 30301"
143256,AA Batteries (4-pack),3,3.84,02/10/19 14:02,"841 Forest St, Seattle, WA 98101"
143257,AAA Batteries (4-pack),2,2.99,02/02/19 08:37,"492 Washington St, San Francisco, CA 94016"
143258,Bose SoundSport Headphones,1,99.99,02/25/19 13:52,"280 Cherry St, Los Angeles, CA 90001"
143259,AA Batteries (4-pack),1,3.84,02/25/19 23:42,"863 Meadow St, Los Angeles, CA 90001"
143260,Wired Headphones,1,11.99,02/05/19 21:23,"3 Sunset St, New York City, NY 10001"
143261,Lightning Charging Cable,1,14.95,02/14/19 10:13,"112 Adams St, Los Angeles, CA 90001"
143262,USB-C Charging Cable,1,11.95,02/10/19 19:04,"273 Willow St, New York City, NY 10001"
143263,AAA Batteries (4-pack),1,2.99,02/01/19 21:48,"5 Main St, New York City, NY 10001"
143264,Apple Airpods Headphones,1,150.0,02/12/19 20:45,"65 Chestnut St, New York City, NY 10001"
143265,Bose SoundSport Headphones,1,99.99,02/26/19 09:58,"962 1st St, San Francisco, CA 94016"
143266,AAA Batteries (4-pack),1,2.99,02/01/19 12:55,"723 Adams St, New York City, NY 10001"
143267,34in Ultrawide Monitor,1,379.99,02/01/19 13:06,"102 Park St, Los Angeles, CA 90001"
143268,LG Dryer,1,600.0,02/23/19 20:46,"452 4th St, Portland, OR 97035"
143269,USB-C Charging Cable,1,11.95,02/10/19 18:45,"361 Ridge St, Los Angeles, CA 90001"
143270,Apple Airpods Headphones,1,150.0,02/07/19 13:06,"358 10th St, Dallas, TX 75001"
143271,USB-C Charging Cable,1,11.95,02/15/19 01:45,"642 2nd St, San Francisco, CA 94016"
143272,20in Monitor,1,109.99,02/08/19 07:53,"916 10th St, San Francisco, CA 94016"
143273,Bose SoundSport Headphones,1,99.99,02/13/19 08:43,"301 2nd St, San Francisco, CA 94016"
143274,USB-C Charging Cable,1,11.95,02/09/19 20:47,"287 Hill St, New York City, NY 10001"
143275,AA Batteries (4-pack),1,3.84,02/28/19 20:17,"996 Lakeview St, Atlanta, GA 30301"
143276,27in 4K Gaming Monitor,1,389.99,02/07/19 17:13,"854 Johnson St, San Francisco, CA 94016"
143277,USB-C Charging Cable,1,11.95,02/26/19 17:13,"72 Highland St, Seattle, WA 98101"
143278,Lightning Charging Cable,1,14.95,02/06/19 06:57,"297 Maple St, Portland, OR 97035"
143279,Flatscreen TV,1,300.0,02/20/19 18:28,"734 7th St, Los Angeles, CA 90001"
143280,Bose SoundSport Headphones,1,99.99,02/01/19 12:31,"217 Lake St, San Francisco, CA 94016"
143281,Apple Airpods Headphones,1,150.0,02/21/19 18:01,"640 North St, Seattle, WA 98101"
143282,AA Batteries (4-pack),1,3.84,02/07/19 12:50,"800 Ridge St, Seattle, WA 98101"
143283,Wired Headphones,1,11.99,02/07/19 11:17,"871 Walnut St, San Francisco, CA 94016"
