Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,AA Batteries (4-pack),1,3.84,01/07/19 19:42,"556 13th St, Boston, MA 02215"
143254,Flatscreen TV,1,300.0,01/10/19 16:21,"668 11th St, San Francisco, CA 94016"
143255,Wired Headphones,1,11.99,01/14/19 13:18,"924 Jackson St, Atlanta, GA 30301"
143256,iPhone,1,700.0,01/18/19 22:45,"38 Lincoln St, Seattle, WA 98101"
143256,Lightning Charging Cable,1,14.95,01/18/19 22:45,"38 Lincoln St, Seattle, WA 98101"
143257,34in Ultrawide Monitor,1,379.99,01/24/19 12:16,"214 Forest St, San Francisco, CA 94016"
143258,Wired Headphones,1,11.99,01/03/19 10:03,"326 North St, New York City, NY 10001"
143259,Apple Airpods Headphones,1,150.0,01/03/19 20:01,"706 Johnson St, New York City, NY 10001"
143260,Wired Headphones,1,11.99,01/18/19 14:40,"638 Cedar St, Austin, TX 73301"
143261,iPhone,1,700.0,01/13/19 12:01,"328 12th St, Boston, MA 02215"
143262,ThinkPad Laptop,1,999.99,01/14/19 17:25,"375 Meadow St, Los Angeles, CA 90001"
143263,USB-C Charging Cable,1,11.95,01/18/19 08:54,"613 14th St, Portland, OR 97035"
143264,AAA Batteries (4-pack),1,2.99,01/12/19 22:25,"766 Highland St, San Francisco, CA 94016"
143265,Vareebadd Phone,1,400.0,01/13/19 21:39,"475 West St, San Francisco, CA 94016"
143265,USB-C Charging Cable,1,11.95,01/13/19 21:39,"475 West St, San Francisco, CA 94016"
143266,Lightning Charging Cable,1,14.95,01/01/19 14:04,"311 South St, New York City, NY 10001"
143267,AAA Batteries (4-pack),1,2.99,01/11/19 15:30,"816 Maple St, Los Angeles, CA 90001"
143268,27in FHD Monitor,1,149.99,01/31/19 16:58,"699 Sunset St, Atlanta, GA 30301"
143269,27in FHD Monitor,1,149.99,01/17/19 13:46,"722 Cedar St, San Francisco, CA 94016"
143270,AA Batteries (4-pack),1,3.84,01/03/19 14:10,"398 Forest St, Boston, MA 02215"
143271,AAA Batteries (4-pack),2,2.99,01/24/19 22:58,"634 4th St, Los Angeles, CA 90001"
143272,USB-C Charging Cable,1,11.95,01/04/19 21:55,"11 South St, Seattle, WA 98101"
143273,Google Phone,1,600.0,01/23/19 16:39,"763 Church St, Los Angeles, CA 90001"
143274,Wired Headphones,1,11.99,01/22/19 15:33,"971 Dogwood St, New York City, NY 10001"
143275,Lightning Charging Cable,1,14.95,01/06/19 18:04,"47 Jackson St, San Francisco, CA 94016"
143276,20in Monitor,1,109.99,01/08/19 17:52,"202 Jackson St, Dallas, TX 75001"
143277,AAA Batteries (4-pack),1,2.99,01/22/19 13:35,"485 South St, New York City, NY 10001"
