Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,27in 4K Gaming Monitor,1,389.99,07/06/19 08:43,"578 Pine St, San Francisco, CA 94016"
143254,iPhone,1,700.0,07/30/19 15:03,"163 Church St, Atlanta, GA 30301"
143255,Bose SoundSport Headphones,1,99.99,07/24/19 12:43,"410 13th St, Boston, MA 02215"
143256,Lightning Charging Cable,1,14.95,07/30/19 15:17,"612 Chestnut St, San Francisco, CA 94016"
143257,iPhone,1,700.0,07/05/19 08:31,"22 Elm St, New York City, NY 10001"
143258,AAA Batteries (4-pack),1,2.99,07/02/19 14:11,"73 Jackson St, San Francisco, CA 94016"
143259,Apple Airpods Headphones,1,150.0,07/04/19 08:44,"89 9th St, Atlanta, GA 30301"
143260,AA Batteries (4-pack),1,3.84,07/03/19 20:33,"152 North St, Dallas, TX 75001"
143261,Wired Headphones,1,11.99,07/31/19 21:32,"262 Park St, Los Angeles, CA 90001"
143262,Apple Airpods Headphones,1,150.0,07/26/19 17:36,"277 Church St, Los Angeles, CA 90001"
143263,20in Monitor,1,109.99,07/31/19 14:51,"888 Willow St, Boston, MA 02215"
143264,AAA Batteries (4-pack),1,2.99,07/26/19 09:04,"927 5th St, Austin, TX 73301"
143265,iPhone,1,700.0,07/28/19 17:54,"164 Madison St, Boston, MA 02215"
143266,Bose SoundSport Headphones,1,99.99,07/14/19 23:00,"741 4th St, Seattle, WA 98101"
143267,Lightning Charging Cable,1,14.95,07/06/19 18:13,"154 Park St, San Francisco, CA 94016"
143268,iPhone,1,700.0,07/03/19 14:02,"690 13th St, Seattle, WA 98101"
143269,Macbook Pro Laptop,1,1700.0,07/30/19 19:06,"902 Willow St, Seattle, WA 98101"
143270,iPhone,1,700.0,07/23/19 18:21,"511 Ridge St, San Francisco, CA 94016"
143271,Lightning Charging Cable,1,14.95,07/28/19 06:11,"201 Wilson St, Boston, MA 02215"
143272,USB-C Charging Cable,1,11.95,07/22/19 10:58,"477 Center St, Dallas, TX 75001"
143273,Google Phone,1,600.0,07/31/19 10:54,"913 Lakeview St, New York City, NY 10001"
143274,34in Ultrawide Monitor,1,379.99,07/21/19 17:59,"966 Washington St, Portland, OR 97035"
143275,AAA Batteries (4-pack),1,2.99,07/26/19 09:20,"406 12th St, Los Angeles, CA 90001"
143276,Bose SoundSport Headphones,1,99.99,07/03/19 15:40,"574 Johnson St, Boston, MA 02215"
143277,34in Ultrawide Monitor,1,379.99,07/25/19 10:55,"482 Forest St, Seattle, WA 98101"
143278,20in Monitor,1,109.99,07/05/19 07:49,"61 Adams St, Austin, TX 73301"
143279,AA Batteries (4-pack),1,3.84,07/01/19 13:29,"907 North St, Los Angeles, CA 90001"
143280,USB-C Charging Cable,1,11.95,07/20/19 17:34,"681 West St, San Francisco, CA 94016"
143281,AAA Batteries (4-pack),1,2.99,07/22/19 13:29,"898 Center St, Portland, OR 97035"
143282,Lightning Charging Cable,1,14.95,07/22/19 12:17,"660 Cherry St, Boston, MA 02215"
143283,27in FHD Monitor,1,149.99,07/22/19 17:00,"766 Jefferson St, San Francisco, CA 94016"
143284,34in Ultrawide Monitor,1,379.99,07/07/19 23:56,"891 North St, New York City, NY 10001"
143285,AA Batteries (4-pack),3,3.84,07/11/19 11:00,"967 Wilson St, Los Angeles, CA 90001"
143286,27in 4K Gaming Monitor,1,389.99,07/07/19 18:17,"591 River St, Boston, MA 02215"
143287,AA Batteries (4-pack),1,3.84,07/16/19 14:36,"648 Madison St, Los Angeles, CA 90001"
143288,Apple Airpods Headphones,1,150.0,07/26/19 11:40,"452 Elm St, New York City, NY 10001"
143289,iPhone,1,700.0,07/30/19 10:44,"508 Lake St, San Francisco, CA 94016"
143290,Lightning Charging Cable,1,14.95,07/04/19 18:46,"702 Church St, San Francisco, CA 94016"
143291,Bose SoundSport Headphones,1,99.99,07/31/19 20:52,"30 Meadow St, Boston, MA 02215"
143292,Apple Airpods Headphones,1,150.0,07/04/19 21:26,"495 Adams St, Boston, MA 02215"
143293,AA Batteries (4-pack),1,3.84,07/16/19 21:49,"458 Johnson St, San Francisco, CA 94016"
143294,Bose SoundSport Headphones,1,99.99,07/31/19 18:09,"123 Washington St, San Francisco, CA 94016"
143295,AA Batteries (4-pack),1,3.84,07/18/19 14:33,"92 2nd St, Seattle, WA 98101"
143296,Macbook Pro Laptop,1,1700.0,07/22/19 08:05,"364 7th St, San Francisco, CA 94016"
143297,27in FHD Monitor,1,149.99,07/04/19 15:57,"162 West St, Los Angeles, CA 90001"
143298,ThinkPad Laptop,1,999.99,07/14/19 16:12,"950 Johnson St, Los Angeles, CA 90001"
143299,AAA Batteries (4-pack),3,2.99,07/16/19 00:12,"163 Willow St, Los Angeles, CA 90001"
143300,27in FHD Monitor,1,149.99,07/08/19 21:00,"365 Adams St, Los Angeles, CA 90001"
143301,USB-C Charging Cable,1,11.95,07/12/19 17:06,"221 6th St, Atlanta, GA 30301"
143302,AAA Batteries (4-pack),1,2.99,07/26/19 11:11,"594 Cherry St, Los Angeles, CA 90001"
143303,Wired Headphones,1,11.99,07/03/19 09:29,"923 North St, Boston, MA 02215"
143304,27in 4K Gaming Monitor,1,389.99,07/21/19 16:58,"656 Highland St, New York City, NY 10001"
143305,Bose SoundSport Headphones,1,99.99,07/30/19 18:39,"114 Adams St, Portland, OR 97035"
143306,AAA Batteries (4-pack),1,2.99,07/05/19 17:36,"125 13th St, Portland, OR 97035"
143307,iPhone,1,700.0,07/19/19 02:41,"939 10th St, Dallas, TX 75001"
143308,AA Batteries (4-pack),1,3.84,07/28/19 21:24,"645 Center St, Dallas, TX 75001"
143309,Lightning Charging Cable,1,14.95,07/05/19 12:33,"850 Lakeview St, Seattle, WA 98101"
143310,AAA Batteries (4-pack),2,2.99,07/05/19 07:32,"654 8th St, San Francisco, CA 94016"
143311,Bose SoundSport Headphones,1,99.99,07/22/19 06:50,"506 Walnut St, San Francisco, CA 94016"
143312,AAA Batteries (4-pack),1,2.99,07/19/19 13:52,"935 11th St, Dallas, TX 75001"
143313,AAA Batteries (4-pack),1,2.99,07/17/19 10:41,"42 Church St, Los Angeles, CA 90001"
143314,Wired Headphones,1,11.99,07/21/19 19:50,"153 Center St, Boston, MA 02215"
143315,AA Batteries (4-pack),1,3.84,07/11/19 06:39,"977 4th St, Portland, ME 04101"
143316,Wired Headphones,1,11.99,07/12/19 22:03,"19 Pine St, Seattle, WA 98101"
143317,Bose SoundSport Headphones,1,99.99,07/12/19 20:57,"292 Chestnut St, San Francisco, CA 94016"
143318,Wired Headphones,1,11.99,07/18/19 16:07,"43 Meadow St, Austin, TX 73301"
143319,Apple Airpods Headphones,1,150.0,07/31/19 14:57,"712 11th St, San Francisco, CA 94016"
143320,Wired Headphones,2,11.99,07/08/19 11:56,"399 Adams St, San Francisco, CA 94016"
143321,Apple Airpods Headphones,1,150.0,07/20/19 06:36,"190 9th St, Atlanta, GA 30301"
143322,AAA Batteries (4-pack),4,2.99,07/22/19 18:36,"882 4th St, Austin, TX 73301"
143323,USB-C Charging Cable,1,11.95,07/26/19 15:34,"682 14th St, New York City, NY 10001"
143324,AAA Batteries (4-pack),1,2.99,07/31/19 18:54,"450 7th St, New York City, NY 10001"
143325,Flatscreen TV,1,300.0,07/10/19 09:01,"2 Cherry St, Dallas, TX 75001"
143326,AA Batteries (4-pack),2,3.84,07/20/19 12:12,"65 Jefferson St, Portland, OR 97035"
143327,Lightning Charging Cable,1,14.95,07/18/19 11:29,"487 Hickory St, Los Angeles, CA 90001"
143328,AAA Batteries (4-pack),2,2.99,07/10/19 11:59,"836 Adams St, Los Angeles, CA 90001"
143329,AA Batteries (4-pack),1,3.84,07/26/19 10:13,"296 Dogwood St, Dallas, TX 75001"
143330,AAA Batteries (4-pack),2,2.99,07/30/19 14:55,"401 7th St, San Francisco, CA 94016"
143331,AA Batteries (4-pack),2,3.84,07/23/19 20:15,"492 Lakeview St, Los Angeles, CA 90001"
143332,Lightning Charging Cable,1,14.95,07/19/19 11:10,"418 Hill St, New York City, NY 10001"
143333,ThinkPad Laptop,1,999.99,07/09/19 21:41,"744 Lakeview St, Atlanta, GA 30301"
143334,Google Phone,1,600.0,07/27/19 20:27,"596 West St, San Francisco, CA 94016"
143335,Flatscreen TV,1,300.0,07/24/19 14:16,"196 Dogwood St, Seattle, WA 98101"
143336,Wired Headphones,1,11.99,07/15/19 16:24,"568 Highland St, Boston, MA 02215"
143337,AA Batteries (4-pack),1,3.84,07/28/19 21:57,"917 Cherry St, New York City, NY 10001"
143338,USB-C Charging Cable,1,11.95,07/21/19 12:42,"721 1st St, San Francisco, CA 94016"
143339,USB-C Charging Cable,1,11.95,07/19/19 18:56,"885 Wilson St, San Francisco, CA 94016"
143340,Wired Headphones,1,11.99,07/02/19 17:39,"30 Meadow St, San Francisco, CA 94016"
143341,34in Ultrawide Monitor,1,379.99,07/02/19 14:16,"881 7th St, Los Angeles, CA 90001"
143342,AAA Batteries (4-pack),1,2.99,07/17/19 18:14,"500 Church St, Atlanta, GA 30301"
143343,34in Ultrawide Monitor,1,379.99,07/01/19 13:18,"439 West St, Austin, TX 73301"
143344,AA Batteries (4-pack),1,3.84,07/28/19 09:02,"927 Wilson St, New York City, NY 10001"
143345,USB-C Charging Cable,1,11.95,07/08/19 11:10,"842 8th St, Austin, TX 73301"
143346,Lightning Charging Cable,1,14.95,07/07/19 10:28,"27 Elm St, Los Angeles, CA 90001"
143347,AA Batteries (4-pack),1,3.84,07/01/19 12:56,"422 Meadow St, Atlanta, GA 30301"
143348,Wired Headphones,1,11.99,07/21/19 13:38,"168 Cherry St, Atlanta, GA 30301"
