Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,USB-C Charging Cable,1,11.95,06/19/19 18:50,"861 Willow St, Portland, OR 97035"
143254,Wired Headphones,1,11.99,06/28/19 13:43,"868 Lakeview St, Atlanta, GA 30301"
143255,USB-C Charging Cable,1,11.95,06/08/19 11:56,"534 Meadow St, Seattle, WA 98101"
143256,Google Phone,1,600.0,06/23/19 08:09,"682 Pine St, Portland, OR 97035"
143257,Lightning Charging Cable,1,14.95,06/12/19 17:43,"805 Chestnut St, Dallas, TX 75001"
143258,USB-C Charging Cable,1,11.95,06/26/19 18:31,"168 4th St, Los Angeles, CA 90001"
143259,AA Batteries (4-pack),1,3.84,06/23/19 08:21,"480 Forest St, Los Angeles, CA 90001"
143260,Lightning Charging Cable,1,14.95,06/10/19 21:42,"901 1st St, San Francisco, CA 94016"
143261,Wired Headphones,1,11.99,06/02/19 16:14,"318 12th St, Boston, MA 02215"
143262,ThinkPad Laptop,1,999.99,06/11/19 07:26,"922 Maple St, New York City, NY 10001"
143263,27in FHD Monitor,1,149.99,06/04/19 22:40,"452 Johnson St, Atlanta, GA 30301"
143264,Bose SoundSport Headphones,1,99.99,06/20/19 07:50,"666 Lake St, San Francisco, CA 94016"
143265,iPhone,1,700.0,06/26/19 17:14,"575 7th St, San Francisco, CA 94016"
143265,Lightning Charging Cable,1,14.95,06/26/19 17:14,"575 7th St, San Francisco, CA 94016"
143266,AA Batteries (4-pack),1,3.84,06/25/19 20:16,"936 10th St, Dallas, TX 75001"
143267,27in FHD Monitor,1,149.99,06/25/19 18:12,"878 Cedar St, Portland, OR 97035"
143268,Bose SoundSport Headphones,1,99.99,06/22/19 00:51,"551 14th St, Boston, MA 02215"
143269,Wired Headphones,2,11.99,06/21/19 15:41,"487 Willow St, Dallas, TX 75001"
143270,27in 4K Gaming Monitor,1,389.99,06/30/19 13:24,"881 Jefferson St, New York City, NY 10001"
143271,20in Monitor,1,109.99,06/03/19 14:35,"540 8th St, Atlanta, GA 30301"
143272,Bose SoundSport Headphones,1,99.99,06/18/19 21:56,"140 Ridge St, Portland, OR 97035"
143273,ThinkPad Laptop,1,999.99,06/28/19 15:05,"245 1st St, San Francisco, CA 94016"
143274,AAA Batteries (4-pack),1,2.99,06/10/19 16:58,"722 Main St, Atlanta, GA 30301"
143275,ThinkPad Laptop,1,999.99,06/24/19 15:52,"223 Hickory St, New York City, NY 10001"
143276,Flatscreen TV,1,300.0,06/29/19 09:05,"13 Walnut St, San Francisco, CA 94016"
143277,ThinkPad Laptop,1,999.99,06/26/19 16:54,"866 Cedar St, Los Angeles, CA 90001"
143278,AAA Batteries (4-pack),2,2.99,06/22/19 07:43,"909 Ridge St, San Francisco, CA 94016"
143279,34in Ultrawide Monitor,1,379.99,06/08/19 16:57,"642 9th St, San Francisco, CA 94016"
143280,AA Batteries (4-pack),2,3.84,06/04/19 14:46,"137 Forest St, Austin, TX 73301"
143281,Lightning Charging Cable,1,14.95,06/22/19 21:59,"861 Jefferson St, San Francisco, CA 94016"
143282,Lightning Charging Cable,1,14.95,06/15/19 12:10,"749 11th St, San Francisco, CA 94016"
143283,Wired Headphones,1,11.99,06/14/19 10:23,"173 Spruce St, Boston, MA 02215"
143284,Bose SoundSport Headphones,1,99.99,06/04/19 09:23,"550 Lake St, Portland, ME 04101"
143285,Macbook Pro Laptop,1,1700.0,06/21/19 20:15,"161 Elm St, Dallas, TX 75001"
143286,Apple Airpods Headphones,1,150.0,06/10/19 08:25,"433 Park St, San Francisco, CA 94016"
143287,Google Phone,1,600.0,06/01/19 21:18,"832 North St, Seattle, WA 98101"
143287,USB-C Charging Cable,1,11.95,06/01/19 21:18,"832 North St, Seattle, WA 98101"
143288,AAA Batteries (4-pack),1,2.99,06/29/19 04:08,"273 Dogwood St, Dallas, TX 75001"
143289,AA Batteries (4-pack),1,3.84,06/05/19 14:18,"485 Washington St, San Francisco, CA 94016"
143290,AAA Batteries (4-pack),1,2.99,06/07/19 21:44,"297 Dogwood St, San Francisco, CA 94016"
143291,34in Ultrawide Monitor,1,379.99,06/24/19 16:17,"789 Spruce St, Dallas, TX 75001"
143292,34in Ultrawide Monitor,1,379.99,06/14/19 09:53,"372 10th St, Los Angeles, CA 90001"
143293,AAA Batteries (4-pack),1,2.99,06/05/19 03:54,"301 North St, Los Angeles, CA 90001"
143294,27in 4K Gaming Monitor,1,389.99,06/16/19 13:30,"612 2nd St, Los Angeles, CA 90001"
143295,USB-C Charging Cable,1,11.95,06/25/19 23:44,"354 Spruce St, Dallas, TX 75001"
143296,Bose SoundSport Headphones,1,99.99,06/04/19 16:10,"8 Ridge St, Dallas, TX 75001"
143297,USB-C Charging Cable,1,11.95,06/02/19 20:55,"379 9th St, San Francisco, CA 94016"
143298,Wired Headphones,1,11.99,06/14/19 16:35,"157 Park St, San Francisco, CA 94016"
143299,Bose SoundSport Headphones,1,99.99,06/16/19 10:08,"175 8th St, New York City, NY 10001"
143300,Lightning Charging Cable,1,14.95,06/22/19 19:28,"19 Jefferson St, New York City, NY 10001"
143301,Wired Headphones,1,11.99,06/22/19 19:58,"221 13th St, Seattle, WA 98101"
143302,Lightning Charging Cable,1,14.95,06/24/19 21:03,"813 Dogwood St, Seattle, WA 98101"
143303,Wired Headphones,1,11.99,06/05/19 15:25,"720 4th St, San Francisco, CA 94016"
143304,Vareebadd Phone,1,400.0,06/04/19 08:08,"727 Lakeview St, Dallas, TX 75001"
143305,AA Batteries (4-pack),2,3.84,06/14/19 09:49,"109 Spruce St, Seattle, WA 98101"
143306,AA Batteries (4-pack),1,3.84,06/09/19 00:00,"464 Forest St, Boston, MA 02215"
143307,USB-C Charging Cable,1,11.95,06/29/19 11:03,"111 Church St, Dallas, TX 75001"
143308,AAA Batteries (4-pack),3,2.99,06/10/19 12:24,"273 Ridge St, San Francisco, CA 94016"
143309,Macbook Pro Laptop,1,1700.0,06/23/19 11:24,"161 11th St, Atlanta, GA 30301"
143310,ThinkPad Laptop,1,999.99,06/01/19 22:01,"370 Cedar St, New York City, NY 10001"
143311,AAA Batteries (4-pack),1,2.99,06/27/19 14:47,"965 5th St, Los Angeles, CA 90001"
143312,Lightning Charging Cable,1,14.95,06/28/19 15:18,"423 10th St, Los Angeles, CA 90001"
143313,34in Ultrawide Monitor,1,379.99,06/23/19 22:15,"812 Jefferson St, New York City, NY 10001"
143314,Wired Headphones,1,11.99,06/10/19 23:17,"662 Meadow St, Dallas, TX 75001"
143315,Apple Airpods Headphones,1,150.0,06/15/19 13:23,"368 Dogwood St, Atlanta, GA 30301"
143316,27in FHD Monitor,1,149.99,06/30/19 21:57,"759 10th St, San Francisco, CA 94016"
143317,Apple Airpods Headphones,1,150.0,06/13/19 10:27,"855 Forest St, San Francisco, CA 94016"
143318,Wired Headphones,1,11.99,06/14/19 18:01,"713 11th St, New York City, NY 10001"
143319,AAA Batteries (4-pack),2,2.99,06/09/19 13:03,"91 Hill St, Boston, MA 02215"
143320,Apple Airpods Headphones,1,150.0,06/10/19 16:55,"251 Pine St, San Francisco, CA 94016"
143321,Bose SoundSport Headphones,1,99.99,06/09/19 20:16,"332 Spruce St, Los Angeles, CA 90001"
143322,USB-C Charging Cable,1,11.95,06/12/19 16:44,"289 Jefferson St, San Francisco, CA 94016"
143323,Lightning Charging Cable,1,14.95,06/17/19 20:48,"207 Meadow St, Boston, MA 02215"
143324,Apple Airpods Headphones,1,150.0,06/01/19 21:18,"588 5th St, Boston, MA 02215"
143325,Lightning Charging Cable,1,14.95,06/23/19 12:08,"439 Lakeview St, Austin, TX 73301"
143326,Wired Headphones,1,11.99,06/25/19 23:56,"409 Cedar St, Austin, TX 73301"
143327,Wired Headphones,1,11.99,06/21/19 07:04,"159 14th St, New York City, NY 10001"
143328,Lightning Charging Cable,1,14.95,06/18/19 09:55,"2 Lincoln St, Seattle, WA 98101"
143329,AA Batteries (4-pack),2,3.84,06/04/19 08:43,"71 Madison St, Los Angeles, CA 90001"
143330,Apple Airpods Headphones,1,150.0,06/07/19 17:42,"410 14th St, San Francisco, CA 94016"
143331,Apple Airpods Headphones,1,150.0,06/20/19 09:51,"418 Willow St, San Francisco, CA 94016"
