Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,Google Phone,1,600,03/29/19 15:06,"725 9th St, Boston, MA 02215"
143253,USB-C Charging Cable,1,11.95,03/29/19 15:06,"725 9th St, Boston, MA 02215"
143254,AAA Batteries (4-pack),2,2.99,03/12/19 17:38,"290 Wilson St, San Francisco, CA 94016"
143255,27in FHD Monitor,1,149.99,03/14/19 18:35,"960 Willow St, Seattle, WA 98101"
143256,AA Batteries (4-pack),1,3.84,03/31/19 21:04,"175 Adams St, San Francisco, CA 94016"
143257,Bose SoundSport Headphones,1,99.99,03/17/19 16:15,"362 Madison St, Dallas, TX 75001"
143258,AAA Batteries (4-pack),1,2.99,03/31/19 15:07,"328 14th St, Los Angeles, CA 90001"
143259,Wired Headphones,1,11.99,03/25/19 14:51,"297 Adams St, Los Angeles, CA 90001"
143260,Wired Headphones,1,11.99,03/25/19 15:22,"607 Lake St, San Francisco, CA 94016"
143261,iPhone,1,700,03/06/19 07:42,"56 Willow St, Los Angeles, CA 90001"
143261,Lightning Charging Cable,1,14.95,03/06/19 07:42,"56 Willow St, Los Angeles, CA 90001"
143262,AAA Batteries (4-pack),1,2.99,03/09/19 11:01,"685 North St, San Francisco, CA 94016"
143263,Google Phone,1,600,03/27/19 22:25,"58 Willow St, San Francisco, CA 94016"
143263,USB-C Charging Cable,1,11.95,03/27/19 22:25,"58 Willow St, San Francisco, CA 94016"
143264,Lightning Charging Cable,1,14.95,03/30/19 01:41,"209 West St, Austin, TX 73301"
143265,Bose SoundSport Headphones,1,99.99,03/28/19 18:36,"278 Church St, Los Angeles, CA 90001"
143266,Lightning Charging Cable,1,14.95,03/04/19 10:26,"279 Hickory St, San Francisco, CA 94016"
143267,AA Batteries (4-pack),1,3.84,03/02/19 14:12,"543 Cherry St, Portland, OR 97035"
143268,iPhone,1,700,03/02/19 21:59,"553 Ridge St, Los Angeles, CA 90001"
143269,Wired Headphones,1,11.99,03/08/19 14:44,"778 Chestnut St, Los Angeles, CA 90001"
143270,AAA Batteries (4-pack),2,2.99,03/01/19 11:53,"772 Meadow St, Boston, MA 02215"
143271,Macbook Pro Laptop,1,1700,03/11/19 12:39,"754 Dogwood St, New York City, NY 10001"
143272,27in FHD Monitor,1,149.99,03/11/19 10:33,"828 Lake St, San Francisco, CA 94016"
143273,AA Batteries (4-pack),2,3.84,03/31/19 13:51,"803 8th St, Portland, OR 97035"
143274,Apple Airpods Headphones,1,150,03/23/19 22:17,"778 7th St, Boston, MA 02215"
143275,Wired Headphones,1,11.99,03/03/19 08:33,"929 2nd St, Los Angeles, CA 90001"
143276,Google Phone,1,600,03/24/19 13:39,"350 Dogwood St, San Francisco, CA 94016"
143277,27in 4K Gaming Monitor,1,389.99,03/18/19 16:01,"908 Highland St, Atlanta, GA 30301"
143278,iPhone,1,700,03/14/19 20:36,"653 2nd St, New York City, NY 10001"
143279,Wired Headphones,1,11.99,03/25/19 13:51,"484 Lincoln St, Portland, OR 97035"
143280,AAA Batteries (4-pack),1,2.99,03/16/19 20:18,"392 7th St, San Francisco, CA 94016"
143281,Wired Headphones,1,11.99,03/08/19 11:24,"438 Wilson St, Los Angeles, CA 90001"
143282,Lightning Charging Cable,1,14.95,03/11/19 20:53,"672 Cedar St, Dallas, TX 75001"
143283,Google Phone,1,600,03/12/19 10:25,"926 12th St, San Francisco, CA 94016"
143284,27in FHD Monitor,1,149.99,03/28/19 13:02,"400 Jefferson St, Los Angeles, CA 90001"
143285,Wired Headphones,1,11.99,03/13/19 14:31,"324 Johnson St, Los Angeles, CA 90001"
143286,USB-C Charging Cable,1,11.95,03/28/19 14:22,"813 4th St, Dallas, TX 75001"
143287,27in FHD Monitor,1,149.99,03/29/19 11:52,"111 North St, Los Angeles, CA 90001"
143288,AAA Batteries (4-pack),1,2.99,03/07/19 23:22,"943 4th St, Los Angeles, CA 90001"
143289,Lightning Charging Cable,1,14.95,03/24/19 13:07,"641 Forest St, New York City, NY 10001"
143290,USB-C Charging Cable,1,11.95,03/05/19 23:48,"955 7th St, San Francisco, CA 94016"
143291,AA Batteries (4-pack),1,3.84,03/28/19 01:07,"184 Walnut St, New York City, NY 10001"
143292,Google Phone,1,600,03/04/19 06:11,"387 Highland St, San Francisco, CA 94016"
143293,USB-C Charging Cable,1,11.95,03/30/19 10:18,"811 Jackson St, San Francisco, CA 94016"
143294,USB-C Charging Cable,1,11.95,03/04/19 11:42,"641 Maple St, New York City, NY 10001"
143295,Google Phone,1,600,03/02/19 18:14,"760 Meadow St, San Francisco, CA 94016"
143296,Macbook Pro Laptop,1,1700,03/26/19 19:15,"19 Walnut St, Los Angeles, CA 90001"
143297,Macbook Pro Laptop,1,1700,03/08/19 00:34,"876 Chestnut St, San Francisco, CA 94016"
143298,AA Batteries (4-pack),2,3.84,03/11/19 01:02,"322 Highland St, Seattle, WA 98101"
143299,Wired Headphones,1,11.99,03/07/19 02:31,"719 Lakeview St, Boston, MA 02215"
143300,LG Washing Machine,1,600.0,03/22/19 22:06,"999 Cedar St, San Francisco, CA 94016"
143301,Lightning Charging Cable,1,14.95,03/04/19 14:22,"832 Washington St, Atlanta, GA 30301"
143302,Bose SoundSport Headphones,1,99.99,03/11/19 11:58,"731 4th St, Dallas, TX 75001"
143303,Apple Airpods Headphones,1,150,03/08/19 19:48,"192 Maple St, San Francisco, CA 94016"
143304,USB-C Charging Cable,1,11.95,03/23/19 19:39,"445 Park St, San Francisco, CA 94016"
143305,Bose SoundSport Headphones,1,99.99,03/09/19 14:57,"1 West St, San Francisco, CA 94016"
143306,27in FHD Monitor,1,149.99,03/25/19 11:32,"15 West St, San Francisco, CA 94016"
143307,Macbook Pro Laptop,1,1700,03/07/19 15:41,"853 Willow St, San Francisco, CA 94016"
143308,Apple Airpods Headphones,1,150,03/01/19 19:36,"40 Lake St, Boston, MA 02215"
143309,Lightning Charging Cable,1,14.95,03/07/19 19:31,"535 Madison St, Boston, MA 02215"
143310,USB-C Charging Cable,1,11.95,03/09/19 12:26,"129 7th St, San Francisco, CA 94016"
143311,iPhone,1,700,03/30/19 12:07,"354 Lake St, New York City, NY 10001"
143311,Lightning Charging Cable,1,14.95,03/30/19 12:07,"354 Lake St, New York City, NY 10001"
143312,Wired Headphones,1,11.99,03/26/19 23:51,"473 Maple St, New York City, NY 10001"
143313,LG Dryer,1,600.0,03/15/19 20:19,"873 Pine St, Los Angeles, CA 90001"
143314,20in Monitor,1,109.99,03/26/19 08:24,"311 13th St, Seattle, WA 98101"
143315,USB-C Charging Cable,1,11.95,03/29/19 14:06,"181 4th St, Los Angeles, CA 90001"
143316,Apple Airpods Headphones,1,150,03/07/19 21:44,"199 West St, Portland, OR 97035"
143317,AAA Batteries (4-pack),1,2.99,03/24/19 23:43,"209 Adams St, Atlanta, GA 30301"
143318,AAA Batteries (4-pack),1,2.99,03/12/19 09:19,"40 Spruce St, New York City, NY 10001"
143319,Apple Airpods Headphones,1,150,03/24/19 20:59,"376 12th St, San Francisco, CA 94016"
143320,iPhone,1,700,03/08/19 18:25,"74 Center St, Austin, TX 73301"
143320,Wired Headphones,2,11.99,03/08/19 18:25,"74 Center St, Austin, TX 73301"
143321,AA Batteries (4-pack),2,3.84,03/07/19 18:59,"284 Sunset St, Dallas, TX 75001"
143322,Apple Airpods Headphones,1,150,03/05/19 17:56,"85 Church St, New York City, NY 10001"
143323,ThinkPad Laptop,1,999.99,03/20/19 07:45,"702 Lake St, Los Angeles, CA 90001"
143324,AA Batteries (4-pack),1,3.84,03/17/19 06:57,"914 Wilson St, New York City, NY 10001"
143325,AA Batteries (4-pack),1,3.84,03/25/19 15:14,"789 Spruce St, Atlanta, GA 30301"
143326,34in Ultrawide Monitor,1,379.99,03/25/19 17:03,"41 Lakeview St, San Francisco, CA 94016"
143327,20in Monitor,1,109.99,03/08/19 19:51,"398 2nd St, Seattle, WA 98101"
143328,Lightning Charging Cable,2,14.95,03/03/19 12:09,"455 2nd St, Los Angeles, CA 90001"
143329,AA Batteries (4-pack),1,3.84,03/22/19 06:50,"976 9th St, San Francisco, CA 94016"
143330,AA Batteries (4-pack),1,3.84,03/03/19 14:50,"747 North St, Dallas, TX 75001"
143331,iPhone,1,700,03/26/19 10:42,"399 7th St, New York City, NY 10001"
143332,Wired Headphones,1,11.99,03/14/19 01:20,"441 Washington St, San Francisco, CA 94016"
143333,Lightning Charging Cable,1,14.95,03/26/19 02:53,"64 7th St, Austin, TX 73301"
143334,AA Batteries (4-pack),2,3.84,03/18/19 12:33,"864 Willow St, San Francisco, CA 94016"
143335,20in Monitor,1,109.99,03/14/19 13:49,"494 Park St, San Francisco, CA 94016"
143336,AA Batteries (4-pack),1,3.84,03/21/19 17:36,"344 Elm St, San Francisco, CA 94016"
143337,LG Washing Machine,1,600.0,03/14/19 20:41,"456 13th St, San Francisco, CA 94016"
143338,Wired Headphones,1,11.99,03/17/19 15:11,"34 River St, Seattle, WA 98101"
