Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,AAA Batteries (4-pack),1,2.99,05/19/19 13:15,"449 Hill St, Portland, OR 97035"
143254,AA Batteries (4-pack),1,3.84,05/28/19 21:20,"430 Elm St, Los Angeles, CA 90001"
143255,AAA Batteries (4-pack),3,2.99,05/23/19 15:21,"346 14th St, Seattle, WA 98101"
143256,AA Batteries (4-pack),3,3.84,05/15/19 21:23,"668 Sunset St, Dallas, TX 75001"
143257,Lightning Charging Cable,1,14.95,05/18/19 11:03,"189 Spruce St, Seattle, WA 98101"
143258,AA Batteries (4-pack),2,3.84,05/19/19 23:07,"736 Hill St, San Francisco, CA 94016"
143259,Bose SoundSport Headphones,1,99.99,05/06/19 22:00,"142 Walnut St, Los Angeles, CA 90001"
143260,USB-C Charging Cable,1,11.95,05/23/19 10:16,"430 14th St, Portland, ME 04101"
143261,Lightning Charging Cable,1,14.95,05/14/19 23:44,"112 6th St, Atlanta, GA 30301"
143262,Lightning Charging Cable,1,14.95,05/31/19 13:43,"211 North St, San Francisco, CA 94016"
143263,Bose SoundSport Headphones,1,99.99,05/14/19 13:48,"762 Lake St, San Francisco, CA 94016"
143264,Wired Headphones,1,11.99,05/16/19 14:25,"476 Main St, Boston, MA 02215"
143265,Wired Headphones,1,11.99,05/28/19 06:50,"177 Jackson St, San Francisco, CA 94016"
143266,Vareebadd Phone,1,400.0,05/26/19 21:37,"508 12th St, New York City, NY 10001"
143266,USB-C Charging Cable,1,11.95,05/26/19 21:37,"508 12th St, New York City, NY 10001"
143267,AA Batteries (4-pack),1,3.84,05/10/19 12:14,"563 Walnut St, Boston, MA 02215"
143268,ThinkPad Laptop,1,999.99,05/15/19 14:53,"569 Lincoln St, New York City, NY 10001"
143269,Bose SoundSport Headphones,1,99.99,05/14/19 22:59,"593 Hill St, Atlanta, GA 30301"
143270,Apple Airpods Headphones,1,150.0,05/14/19 11:47,"609 Ridge St, San Francisco, CA 94016"
143271,27in 4K Gaming Monitor,1,389.99,05/05/19 23:44,"395 Lake St, Los Angeles, CA 90001"
143272,Lightning Charging Cable,1,14.95,05/03/19 21:25,"841 Cedar St, San Francisco, CA 94016"
143273,Macbook Pro Laptop,1,1700.0,05/30/19 16:54,"822 Chestnut St, Dallas, TX 75001"
143274,Bose SoundSport Headphones,1,99.99,05/20/19 08:43,"47 River St, Atlanta, GA 30301"
143275,Bose SoundSport Headphones,1,99.99,05/25/19 19:28,"491 2nd St, San Francisco, CA 94016"
143276,Lightning Charging Cable,1,14.95,05/12/19 09:51,"824 North St, Boston, MA 02215"
143277,Bose SoundSport Headphones,1,99.99,05/12/19 21:21,"186 Johnson St, San Francisco, CA 94016"
143278,iPhone,1,700.0,05/09/19 08:37,"615 Sunset St, New York City, NY 10001"
143279,ThinkPad Laptop,1,999.99,05/10/19 13:47,"162 Lakeview St, San Francisco, CA 94016"
143280,Wired Headphones,1,11.99,05/10/19 18:43,"656 Center St, Boston, MA 02215"
143281,Wired Headphones,1,11.99,05/18/19 21:27,"885 Willow St, New York City, NY 10001"
143282,USB-C Charging Cable,1,11.95,05/10/19 17:15,"620 Maple St, Seattle, WA 98101"
143283,Bose SoundSport Headphones,1,99.99,05/13/19 23:16,"251 1st St, Seattle, WA 98101"
143284,ThinkPad Laptop,1,999.99,05/25/19 18:49,"86 2nd St, Seattle, WA 98101"
143285,27in 4K Gaming Monitor,1,389.99,05/03/19 14:22,"974 12th St, Los Angeles, CA 90001"
143286,ThinkPad Laptop,1,999.99,05/11/19 12:10,"268 4th St, New York City, NY 10001"
143287,27in 4K Gaming Monitor,1,389.99,05/09/19 18:29,"941 Johnson St, Atlanta, GA 30301"
143288,USB-C Charging Cable,1,11.95,05/07/19 11:58,"118 Johnson St, Los Angeles, CA 90001"
143289,Apple Airpods Headphones,1,150.0,05/01/19 20:43,"901 Jackson St, Seattle, WA 98101"
143290,Macbook Pro Laptop,1,1700.0,05/18/19 19:17,"783 Hill St, Portland, OR 97035"
143291,Lightning Charging Cable,1,14.95,05/23/19 17:48,"227 14th St, New York City, NY 10001"
143292,27in 4K Gaming Monitor,1,389.99,05/13/19 15:16,"80 2nd St, Dallas, TX 75001"
143293,27in FHD Monitor,1,149.99,05/25/19 14:49,"2 Elm St, Boston, MA 02215"
143294,USB-C Charging Cable,1,11.95,05/06/19 11:54,"354 Hickory St, Austin, TX 73301"
143295,AAA Batteries (4-pack),2,2.99,05/31/19 21:02,"665 1st St, Dallas, TX 75001"
143296,Bose SoundSport Headphones,1,99.99,05/03/19 10:13,"377 Sunset St, Dallas, TX 75001"
143297,iPhone,1,700.0,05/04/19 22:00,"456 Willow St, San Francisco, CA 94016"
143298,AAA Batteries (4-pack),1,2.99,05/07/19 19:25,"602 13th St, Austin, TX 73301"
143299,Lightning Charging Cable,1,14.95,05/19/19 00:37,"748 Cedar St, San Francisco, CA 94016"
143300,AA Batteries (4-pack),3,3.84,05/26/19 07:28,"556 West St, New York City, NY 10001"
143301,Bose SoundSport Headphones,1,99.99,05/05/19 10:13,"764 West St, Atlanta, GA 30301"
143302,USB-C Charging Cable,1,11.95,05/08/19 17:43,"397 West St, San Francisco, CA 94016"
143303,Wired Headphones,1,11.99,05/22/19 07:39,"705 Highland St, New York City, NY 10001"
143304,USB-C Charging Cable,1,11.95,05/21/19 19:41,"457 14th St, New York City, NY 10001"
143305,AA Batteries (4-pack),1,3.84,05/21/19 14:25,"441 1st St, Seattle, WA 98101"
143306,AA Batteries (4-pack),1,3.84,05/31/19 08:35,"308 Johnson St, San Francisco, CA 94016"
