Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,USB-C Charging Cable,1,11.95,11/07/19 15:33,"815 Chestnut St, San Francisco, CA 94016"
143254,Bose SoundSport Headphones,1,99.99,11/03/19 06:27,"297 Highland St, San Francisco, CA 94016"
143255,AA Batteries (4-pack),1,3.84,11/25/19 15:58,"692 Forest St, San Francisco, CA 94016"
143256,Vareebadd Phone,1,400.0,11/08/19 17:20,"618 7th St, San Francisco, CA 94016"
143257,iPhone,1,700.0,11/15/19 15:58,"514 Lincoln St, New York City, NY 10001"
143257,Apple Airpods Headphones,1,150.0,11/15/19 15:58,"514 Lincoln St, New York City, NY 10001"
143258,Apple Airpods Headphones,1,150.0,11/25/19 08:22,"61 Lakeview St, Seattle, WA 98101"
143259,Flatscreen TV,1,300.0,11/03/19 15:49,"711 14th St, San Francisco, CA 94016"
143260,Macbook Pro Laptop,1,1700.0,11/30/19 11:06,"602 Hickory St, San Francisco, CA 94016"
143261,Lightning Charging Cable,1,14.95,11/24/19 00:06,"289 Highland St, Portland, OR 97035"
143262,Flatscreen TV,1,300.0,11/07/19 09:16,"555 Madison St, Portland, OR 97035"
143263,AA Batteries (4-pack),1,3.84,11/30/19 15:22,"695 Adams St, New York City, NY 10001"
143264,AAA Batteries (4-pack),3,2.99,11/22/19 18:25,"145 Johnson St, Portland, OR 97035"
143265,27in FHD Monitor,1,149.99,11/26/19 18:52,"323 Cherry St, Portland, OR 97035"
143266,USB-C Charging Cable,1,11.95,11/23/19 12:05,"678 Walnut St, Atlanta, GA 30301"
143267,27in FHD Monitor,1,149.99,11/19/19 09:05,"947 Meadow St, Boston, MA 02215"
143268,iPhone,1,700.0,11/12/19 18:19,"666 Willow St, Seattle, WA 98101"
143268,Lightning Charging Cable,1,14.95,11/12/19 18:19,"666 Willow St, Seattle, WA 98101"
143269,Google Phone,1,600.0,11/07/19 18:03,"643 Cedar St, San Francisco, CA 94016"
143269,USB-C Charging Cable,1,11.95,11/07/19 18:03,"643 Cedar St, San Francisco, CA 94016"
143270,USB-C Charging Cable,1,11.95,11/15/19 10:15,"909 Main St, Los Angeles, CA 90001"
143271,Bose SoundSport Headphones,1,99.99,11/05/19 22:52,"521 12th St, Atlanta, GA 30301"
143272,USB-C Charging Cable,1,11.95,11/10/19 11:35,"12 5th St, Atlanta, GA 30301"
143273,AAA Batteries (4-pack),1,2.99,11/21/19 16:26,"704 11th St, Los Angeles, CA 90001"
143274,Bose SoundSport Headphones,1,99.99,11/13/19 16:26,"296 Church St, Seattle, WA 98101"
143275,AA Batteries (4-pack),1,3.84,11/20/19 21:34,"864 Main St, San Francisco, CA 94016"
143276,ThinkPad Laptop,1,999.99,11/28/19 09:54,"239 Highland St, Seattle, WA 98101"
143277,AA Batteries (4-pack),1,3.84,11/28/19 18:06,"970 Jefferson St, Dallas, TX 75001"
143278,AAA Batteries (4-pack),1,2.99,11/06/19 07:03,"110 10th St, San Francisco, CA 94016"
