Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,Apple Airpods Headphones,1,150,10/03/19 14:00,"108 Madison St, Atlanta, GA 30301"
143254,Lightning Charging Cable,1,14.95,10/17/19 14:55,"893 9th St, Atlanta, GA 30301"
143255,USB-C Charging Cable,1,11.95,10/04/19 09:05,"69 Cherry St, Dallas, TX 75001"
143256,Apple Airpods Headphones,1,150,10/27/19 17:54,"948 Main St, Portland, OR 97035"
143257,Wired Headphones,1,11.99,10/14/19 14:03,"288 2nd St, Los Angeles, CA 90001"
143258,Macbook Pro Laptop,1,1700,10/20/19 12:19,"613 Lincoln St, Los Angeles, CA 90001"
143259,27in 4K Gaming Monitor,1,389.99,10/24/19 21:15,"970 Lakeview St, New York City, NY 10001"
143260,20in Monitor,1,109.99,10/19/19 15:19,"466 Cedar St, San Francisco, CA 94016"
143261,Vareebadd Phone,1,400,10/26/19 14:16,"31 13th St, Los Angeles, CA 90001"
143262,AA Batteries (4-pack),2,3.84,10/09/19 14:18,"504 5th St, Boston, MA 02215"
143263,AAA Batteries (4-pack),1,2.99,10/15/19 10:43,"717 Walnut St, San Francisco, CA 94016"
143264,20in Monitor,1,109.99,10/11/19 15:02,"459 Lakeview St, Boston, MA 02215"
143265,27in 4K Gaming Monitor,1,389.99,10/24/19 11:47,"180 Lakeview St, Dallas, TX 75001"
143266,USB-C Charging Cable,1,11.95,10/02/19 16:17,"572 Pine St, Dallas, TX 75001"
143267,AAA Batteries (4-pack),1,2.99,10/18/19 18:00,"432 Dogwood St, New York City, NY 10001"
143268,Vareebadd Phone,1,400,10/26/19 12:33,"217 Madison St, Boston, MA 02215"
143268,USB-C Charging Cable,1,11.95,10/26/19 12:33,"217 Madison St, Boston, MA 02215"
143269,27in 4K Gaming Monitor,1,389.99,10/17/19 18:48,"441 Center St, San Francisco, CA 94016"
143270,AAA Batteries (4-pack),1,2.99,10/24/19 13:25,"596 2nd St, Los Angeles, CA 90001"
143271,USB-C Charging Cable,1,11.95,10/19/19 18:09,"265 Jackson St, Los Angeles, CA 90001"
143272,iPhone,1,700,10/15/19 11:30,"950 Park St, Los Angeles, CA 90001"
143273,Wired Headphones,1,11.99,10/11/19 14:33,"10 12th St, Los Angeles, CA 90001"
143274,Wired Headphones,1,11.99,10/26/19 10:22,"693 Lake St, San Francisco, CA 94016"
143275,27in FHD Monitor,1,149.99,10/22/19 05:37,"497 North St, Boston, MA 02215"
143276,Macbook Pro Laptop,1,1700,10/08/19 11:54,"909 12th St, San Francisco, CA 94016"
143277,Apple Airpods Headphones,1,150,10/21/19 11:39,"259 9th St, Los Angeles, CA 90001"
143278,Apple Airpods Headphones,1,150,10/11/19 23:20,"528 Elm St, Austin, TX 73301"
143279,34in Ultrawide Monitor,1,379.99,10/22/19 11:07,"70 11th St, Los Angeles, CA 90001"
143280,iPhone,1,700,10/04/19 07:29,"36 Johnson St, Dallas, TX 75001"
143281,USB-C Charging Cable,1,11.95,10/16/19 16:11,"395 South St, Austin, TX 73301"
143282,27in 4K Gaming Monitor,1,389.99,10/11/19 22:14,"972 9th St, Boston, MA 02215"
143283,USB-C Charging Cable,1,11.95,10/18/19 10:03,"870 Main St, Los Angeles, CA 90001"
143284,USB-C Charging Cable,1,11.95,10/30/19 00:43,"215 Chestnut St, San Francisco, CA 94016"
143285,Lightning Charging Cable,1,14.95,10/17/19 20:14,"280 Dogwood St, Portland, ME 04101"
143286,Wired Headphones,2,11.99,10/24/19 22:57,"422 Lincoln St, San Francisco, CA 94016"
143287,20in Monitor,1,109.99,10/12/19 01:18,"746 Maple St, Atlanta, GA 30301"
143288,27in 4K Gaming Monitor,1,389.99,10/08/19 14:21,"877 Main St, San Francisco, CA 94016"
143289,AA Batteries (4-pack),2,3.84,10/15/19 20:05,"159 6th St, Boston, MA 02215"
143290,Apple Airpods Headphones,1,150,10/13/19 14:40,"207 Elm St, Atlanta, GA 30301"
143291,Lightning Charging Cable,1,14.95,10/26/19 18:20,"110 5th St, Austin, TX 73301"
143292,AAA Batteries (4-pack),1,2.99,10/23/19 23:41,"351 Dogwood St, Dallas, TX 75001"
143293,AA Batteries (4-pack),1,3.84,10/14/19 18:04,"63 8th St, Dallas, TX 75001"
143294,Apple Airpods Headphones,1,150,10/11/19 23:25,"617 14th St, Dallas, TX 75001"
143295,AA Batteries (4-pack),3,3.84,10/01/19 08:17,"842 Cedar St, Atlanta, GA 30301"
143296,Bose SoundSport Headphones,1,99.99,10/26/19 22:54,"695 Johnson St, Boston, MA 02215"
143297,27in 4K Gaming Monitor,1,389.99,10/12/19 06:46,"881 Wilson St, Dallas, TX 75001"
143298,USB-C Charging Cable,1,11.95,10/07/19 02:25,"1 Cedar St, Boston, MA 02215"
143299,Lightning Charging Cable,1,14.95,10/30/19 00:16,"73 Adams St, Austin, TX 73301"
143300,Apple Airpods Headphones,1,150,10/30/19 07:44,"557 1st St, Portland, OR 97035"
143301,AAA Batteries (4-pack),1,2.99,10/06/19 21:35,"77 Willow St, Austin, TX 73301"
143302,AA Batteries (4-pack),1,3.84,10/04/19 13:21,"376 Adams St, Boston, MA 02215"
143303,AA Batteries (4-pack),2,3.84,10/13/19 19:27,"397 Highland St, Los Angeles, CA 90001"
143304,27in FHD Monitor,1,149.99,10/31/19 11:22,"848 Forest St, Austin, TX 73301"
143305,Bose SoundSport Headphones,1,99.99,10/23/19 14:50,"596 Church St, New York City, NY 10001"
143306,Bose SoundSport Headphones,2,99.99,10/22/19 12:50,"831 10th St, Atlanta, GA 30301"
143307,AA Batteries (4-pack),1,3.84,10/25/19 09:38,"184 Cherry St, Dallas, TX 75001"
143308,27in 4K Gaming Monitor,1,389.99,10/11/19 15:09,"986 Highland St, Atlanta, GA 30301"
143309,Lightning Charging Cable,1,14.95,10/16/19 11:41,"791 Lincoln St, Portland, OR 97035"
143310,Lightning Charging Cable,1,14.95,10/27/19 13:00,"364 Elm St, Dallas, TX 75001"
143311,Wired Headphones,1,11.99,10/06/19 20:11,"133 Chestnut St, San Francisco, CA 94016"
143312,USB-C Charging Cable,1,11.95,10/19/19 00:12,"69 Wilson St, New York City, NY 10001"
143313,AA Batteries (4-pack),1,3.84,10/04/19 02:13,"424 13th St, Seattle, WA 98101"
143314,ThinkPad Laptop,1,999.99,10/26/19 14:22,"185 Washington St, Atlanta, GA 30301"
143315,34in Ultrawide Monitor,1,379.99,10/08/19 20:30,"857 Spruce St, Atlanta, GA 30301"
143316,USB-C Charging Cable,1,11.95,10/25/19 16:03,"479 9th St, Dallas, TX 75001"
143317,Lightning Charging Cable,2,14.95,10/28/19 10:18,"789 Park St, Dallas, TX 75001"
143318,Wired Headphones,1,11.99,10/29/19 22:32,"546 Pine St, San Francisco, CA 94016"
143319,Apple Airpods Headphones,1,150,10/07/19 22:44,"436 Walnut St, New York City, NY 10001"
143320,AAA Batteries (4-pack),2,2.99,10/03/19 13:48,"335 West St, Seattle, WA 98101"
143321,27in FHD Monitor,1,149.99,10/04/19 05:25,"578 Madison St, Atlanta, GA 30301"
143322,Apple Airpods Headphones,1,150,10/23/19 22:44,"691 13th St, Los Angeles, CA 90001"
143323,AAA Batteries (4-pack),2,2.99,10/23/19 18:19,"591 Hill St, New York City, NY 10001"
143324,Lightning Charging Cable,1,14.95,10/12/19 10:48,"742 Wilson St, Seattle, WA 98101"
143325,USB-C Charging Cable,1,11.95,10/17/19 08:30,"488 Cherry St, New York City, NY 10001"
143326,Vareebadd Phone,1,400,10/31/19 20:48,"278 Cedar St, San Francisco, CA 94016"
143327,Apple Airpods Headphones,1,150,10/22/19 10:44,"639 5th St, Los Angeles, CA 90001"
143328,USB-C Charging Cable,1,11.95,10/27/19 21:26,"770 Church St, Dallas, TX 75001"
143329,Bose SoundSport Headphones,1,99.99,10/19/19 18:56,"585 Lake St, Dallas, TX 75001"
143330,Bose SoundSport Headphones,1,99.99,10/08/19 19:40,"261 Hickory St, Los Angeles, CA 90001"
