Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,Vareebadd Phone,1,400,09/21/19 19:04,"826 Jefferson St, New York City, NY 10001"
143254,27in 4K Gaming Monitor,1,389.99,09/09/19 22:40,"159 Hill St, New York City, NY 10001"
143255,Bose SoundSport Headphones,1,99.99,09/15/19 18:35,"234 2nd St, San Francisco, CA 94016"
143256,USB-C Charging Cable,1,11.95,09/10/19 14:37,"83 Center St, Dallas, TX 75001"
143257,USB-C Charging Cable,1,11.95,09/23/19 09:55,"620 Lakeview St, San Francisco, CA 94016"
143258,Lightning Charging Cable,1,14.95,09/26/19 09:56,"752 Maple St, San Francisco, CA 94016"
143259,AAA Batteries (4-pack),2,2.99,09/11/19 10:54,"176 Pine St, Los Angeles, CA 90001"
143260,USB-C Charging Cable,1,11.95,09/16/19 22:35,"830 Meadow St, San Francisco, CA 94016"
143261,Bose SoundSport Headphones,1,99.99,09/23/19 11:42,"215 Madison St, New York City, NY 10001"
143262,AA Batteries (4-pack),2,3.84,09/24/19 12:59,"771 Lakeview St, Atlanta, GA 30301"
143263,Bose SoundSport Headphones,1,99.99,09/06/19 21:09,"882 13th St, San Francisco, CA 94016"
143264,Macbook Pro Laptop,1,1700,09/13/19 20:50,"408 Elm St, San Francisco, CA 94016"
143265,Macbook Pro Laptop,1,1700,09/07/19 20:37,"790 Dogwood St, Atlanta, GA 30301"
143266,Google Phone,1,600,09/14/19 18:51,"240 West St, San Francisco, CA 94016"
143267,Lightning Charging Cable,1,14.95,09/15/19 11:34,"884 Maple St, San Francisco, CA 94016"
143268,Wired Headphones,1,11.99,09/03/19 11:44,"451 Highland St, San Francisco, CA 94016"
143269,Wired Headphones,1,11.99,09/19/19 09:34,"810 Washington St, Boston, MA 02215"
143270,34in Ultrawide Monitor,1,379.99,09/11/19 11:58,"488 Maple St, Atlanta, GA 30301"
143271,Lightning Charging Cable,1,14.95,09/30/19 16:07,"91 Highland St, Los Angeles, CA 90001"
143272,Wired Headphones,1,11.99,09/09/19 12:02,"885 11th St, Boston, MA 02215"
143273,Apple Airpods Headphones,1,150,09/07/19 19:14,"6 Maple St, Los Angeles, CA 90001"
143274,iPhone,1,700,09/07/19 18:44,"962 Cherry St, Portland, OR 97035"
143275,AAA Batteries (4-pack),2,2.99,09/04/19 10:18,"391 Lincoln St, San Francisco, CA 94016"
143276,USB-C Charging Cable,1,11.95,09/15/19 12:52,"712 Center St, New York City, NY 10001"
